timestamp,gt_x,gt_y,gt_theta,odom_x,odom_y,odom_theta,,odom_error_x,odom_error_y,odom_error_pos,odom_error_theta
20.64,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0105897058723114,-9.80646420140185E-05,-0.000105409496208091,,0.0105911816723527,9.80642447260091E-05,0.0105916356533291,0.000105417129192804
20.66,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0105897058866494,-9.80646420155299E-05,-0.000105409496302484,,0.0105911816866906,9.80642447275205E-05,0.0105916356676665,0.000105417129287196
20.68,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0105897058866494,-9.80646420155299E-05,-0.000105409496302484,,0.0105911816866906,9.80642447275205E-05,0.0105916356676665,0.000105417129287196
20.7,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0105897059000911,-9.80646420169468E-05,-0.000105409496390976,,0.0105911817001323,9.80642447289373E-05,0.0105916356811076,0.000105417129375689
20.72,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0105897059103963,-9.8064642018033E-05,-0.000105409496458821,,0.0105911817104375,9.80642447300236E-05,0.0105916356914124,0.000105417129443534
20.74,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0105897059251819,-9.80646420195916E-05,-0.000105409496556155,,0.0105911817252231,9.80642447315821E-05,0.0105916357061974,0.000105417129540868
20.76,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0105897059251819,-9.80646420195916E-05,-0.000105409496556155,,0.0105911817252231,9.80642447315821E-05,0.0105916357061974,0.000105417129540868
20.78,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0105897059386232,-9.80646420210084E-05,-0.000105409496644648,,0.0105911817386644,9.8064244732999E-05,0.0105916357196381,0.00010541712962936
20.8,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0105897059516164,-9.8064642022378E-05,-0.000105409496730397,,0.0105911817516576,9.80642447343686E-05,0.0105916357326308,0.00010541712971511
20.82,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0105897059516164,-9.8064642022378E-05,-0.000105409496730397,,0.0105911817516576,9.80642447343686E-05,0.0105916357326308,0.00010541712971511
20.84,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.01079710337683,-0.000100103713513013,-0.000107600891388112,,0.0107985791768712,0.000100103316225003,0.0107990431480329,0.000107608524372825
20.86,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0107971033875828,-0.00010010371351417,-0.000107600891458906,,0.010798579187624,0.00010010331622616,0.0107990431587852,0.000107608524443619
20.88,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0107971033875828,-0.00010010371351417,-0.000107600891458906,,0.010798579187624,0.00010010331622616,0.0107990431587852,0.000107608524443619
20.9,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0107971033978875,-0.000100103713515279,-0.000107600891526745,,0.0107985791979287,0.000100103316227269,0.0107990431690895,0.000107608524511458
20.92,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0110015166993037,-0.000102118102555087,-0.000109765737741697,,0.011002992499345,0.000102117705267077,0.0110034663613959,0.00010977337072641
20.94,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0110015166993037,-0.000102118102555087,-0.000109765737741697,,0.011002992499345,0.000102117705267077,0.0110034663613959,0.00010977337072641
20.96,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0110015167109523,-0.000102118102556365,-0.000109765737818384,,0.0110029925109935,0.000102117705268356,0.011003466373044,0.000109773370803097
20.98,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0110015167212568,-0.000102118102557496,-0.000109765737886223,,0.011002992521298,0.000102117705269487,0.011003466383348,0.000109773370870936
21,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0110015167338012,-0.000102118102558873,-0.000109765737968809,,0.0110029925338424,0.000102117705270864,0.0110034663958919,0.000109773370953522
21.02,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0110015167338012,-0.000102118102558873,-0.000109765737968809,,0.0110029925338424,0.000102117705270864,0.0110034663958919,0.000109773370953522
21.04,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0112030098513978,-0.000104108249915509,-0.000111904509923979,,0.0112044856514391,0.0001041078526275,0.0112049693064409,0.000111912142908692
21.06,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0112030098513978,-0.000104108249915509,-0.000111904509923979,,0.0112044856514391,0.0001041078526275,0.0112049693064409,0.000111912142908692
21.08,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0112030098670781,-0.000104108249917264,-0.000111904510027212,,0.0112044856671193,0.000104107852629255,0.0112049693221205,0.000111912143011925
21.1,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0112030098778301,-0.000104108249918467,-0.000111904510097995,,0.0112044856778714,0.000104107852630458,0.0112049693328721,0.000111912143082707
21.12,-1.4758000412321E-06,-3.97288009435912E-10,7.63298471287817E-09,0.0112030098845501,-0.000104108249919219,-0.000111904510142237,,0.0112044856845914,0.00010410785263121,0.0112049693395918,0.00011191214312695
